Age,No. of years in Formal Education,Sector,Household'S Usual Consumer Expenditure In A Month (Rs.)
0,0,0,10083
4,0,0,10083
63,12,0,9833
47,9,0,9833
55,7,0,7625
35,12,0,10000
30,10,0,10000
11,4,0,10000
8,2,0,10000
58,0,0,7867
48,0,0,7867
31,10,0,7867
73,0,0,7867
45,10,0,9200
37,9,0,9200
14,9,0,9200
14,9,0,9200
8,4,0,9200
58,5,0,7825
50,0,0,7825
41,10,0,8752
34,10,0,8752
15,9,0,8752
7,1,0,8752
70,7,0,8533
65,5,0,8533
45,9,0,8533
10,4,0,8533
78,12,0,5873
68,9,0,5873
58,3,0,2862
40,7,0,8397
33,10,0,8397
14,7,0,8397
18,12,0,8397
42,8,0,11285
35,9,0,11285
13,7,0,11285
9,3,0,11285
16,10,0,11285
65,0,0,11285
28,9,0,4925
25,10,0,4925
38,5,0,9238
32,2,0,9238
8,2,0,9238
12,6,0,9238
10,4,0,9238
37,15,0,11333
30,12,0,11333
10,4,0,11333
5,0,0,11333
2,0,0,11333
36,18,0,6733
65,9,0,6733
65,8,0,6858
55,0,0,6858
30,15,0,6858
45,4,0,10100
35,9,0,10100
10,4,0,10100
2,0,0,10100
60,7,0,9042
55,5,0,9042
28,12,0,9042
25,15,0,9042
50,4,0,6400
45,2,0,6400
24,12,0,6400
42,9,0,13983
38,10,0,13983
2,0,0,13983
14,7,0,13983
10,5,0,13983
7,1,0,13983
4,0,0,13983
65,0,0,13983
60,0,0,13983
40,9,0,8983
34,9,0,8983
13,7,0,8983
11,5,0,8983
46,12,0,8908
41,6,0,8908
23,14,0,8908
22,12,0,8908
50,9,0,12250
43,9,0,12250
15,9,0,12250
24,12,0,12250
45,6,0,6733
40,2,0,6733
60,0,0,3358
58,2,0,17383
54,0,0,17383
35,8,0,17383
30,7,0,17383
6,0,0,17383
4,0,0,17383
31,12,0,17383
26,12,0,17383
7,1,0,17383
6,0,0,17383
36,9,0,17383
14,8,0,17383
6,0,0,17383
56,0,0,17383
50,8,0,18883
48,0,0,18883
30,8,0,18883
28,7,0,18883
2,0,0,18883
10,4,0,18883
8,1,0,18883
7,0,0,18883
5,0,0,18883
3,0,0,18883
25,12,0,18883
23,7,0,18883
6,0,0,18883
1,0,0,18883
48,1,0,16097
30,9,0,16097
30,8,0,16097
12,7,0,16097
5,0,0,16097
26,10,0,16097
23,8,0,16097
4,0,0,16097
1,0,0,16097
35,7,0,10233
33,5,0,10233
13,8,0,10233
11,6,0,10233
8,3,0,10233
51,3,0,12967
45,0,0,12967
24,11,0,12967
20,12,0,12967
22,12,0,12967
19,11,0,12967
37,12,0,8225
33,7,0,8225
14,9,0,8225
8,2,0,8225
11,5,0,8225
42,4,0,10000
40,0,0,10000
21,12,0,10000
89,0,0,3000
84,0,0,3000
43,1,0,13158
16,10,0,13158
24,17,0,13158
22,15,0,13158
9,2,0,13158
58,0,0,26700
38,2,0,26700
35,7,0,26700
16,10,0,26700
14,7,0,26700
30,15,0,26700
27,14,0,26700
7,1,0,26700
4,0,0,26700
38,9,0,11942
14,8,0,11942
12,6,0,11942
65,4,0,3475
60,0,0,3475
47,8,0,13250
44,10,0,13250
14,8,0,13250
21,13,0,13250
18,12,0,13250
63,11,0,8583
57,2,0,8583
70,11,0,10583
65,0,0,10583
88,0,0,10583
80,0,0,4125
78,11,0,19117
74,5,0,19117
51,15,0,19117
42,12,0,19117
21,15,0,19117
17,11,0,19117
75,9,0,13450
70,0,0,13450
45,7,0,13450
41,7,0,13450
22,12,0,13450
62,9,0,16333
60,0,0,16333
35,15,0,16333
33,9,0,16333
13,7,0,16333
11,5,0,16333
54,5,0,15867
50,4,0,15867
25,8,0,15867
75,0,0,15867
42,12,0,7542
39,7,0,7542
21,15,0,7542
66,0,0,10875
62,0,0,10875
55,0,0,10875
32,15,0,10875
60,5,0,5017
54,0,0,5017
38,7,0,8213
35,0,0,8213
15,9,0,8213
12,6,0,8213
44,12,0,11725
37,7,0,11725
14,8,0,11725
18,12,0,11725
9,3,0,11725
70,0,0,11725
65,0,0,10067
60,0,0,10067
32,15,0,10067
11,4,0,10067
5,0,0,10067
38,12,0,7012
34,8,0,7012
12,6,0,7012
15,9,0,7012
42,9,0,9353
38,0,0,9353
15,9,0,9353
13,7,0,9353
85,4,0,13492
59,2,0,13492
49,0,0,13492
20,12,0,13492
33,10,0,13492
50,0,0,13492
70,0,0,11150
65,0,0,11150
38,5,0,11150
29,11,0,11150
8,2,0,11150
6,0,0,11150
34,15,0,11150
50,9,0,10225
46,9,0,10225
16,10,0,10225
70,4,0,10225
56,0,0,14908
50,0,0,14908
30,9,0,14908
29,9,0,14908
0,0,0,14908
12,6,0,14908
7,1,0,14908
5,0,0,14908
86,7,0,14150
75,0,0,14150
40,12,0,14150
37,12,0,14150
17,10,0,14150
13,7,0,14150
82,4,0,17200
65,0,0,17200
43,9,0,17200
35,9,0,17200
17,10,0,17200
16,9,0,17200
38,9,0,9192
34,5,0,9192
16,11,0,9192
14,8,0,9192
70,7,0,3383
65,1,0,3383
42,3,0,4133
21,12,0,4133
25,10,0,4133
1,0,0,4133
61,7,0,10360
55,0,0,10360
36,9,0,10360
35,9,0,10360
8,0,0,10360
6,0,0,10360
33,12,0,10360
30,12,0,10360
2,0,0,10360
45,9,0,5604
40,6,0,5604
21,12,0,5604
42,10,0,5296
38,8,0,5296
17,9,0,5296
15,9,0,5296
60,0,0,5296
60,0,0,6203
55,0,0,6203
26,12,0,6203
25,9,0,6203
31,9,0,4932
29,10,0,4932
3,0,0,4932
1,0,0,4932
61,3,0,5717
57,2,0,5717
60,0,0,8184
35,9,0,8184
7,0,0,8184
10,0,0,8184
58,0,0,9567
51,0,0,9567
27,11,0,9567
21,8,0,9567
4,0,0,9567
5,0,0,9567
1,0,0,9567
20,12,0,9567
54,9,0,6967
48,4,0,6967
21,15,0,6967
46,5,0,5833
27,15,0,5833
25,8,0,5833
51,11,0,10700
50,7,0,10700
28,15,0,10700
22,12,0,10700
1,0,0,10700
31,15,0,17983
27,2,0,17983
8,2,0,17983
4,0,0,17983
4,0,0,17983
1,0,0,17983
29,0,0,17983
26,2,0,17983
9,3,0,17983
4,0,0,17983
7,2,0,17983
19,13,0,17983
18,6,0,17983
65,12,0,10000
56,7,0,10000
49,0,0,4267
45,0,0,4267
23,10,0,4267
64,7,0,5367
58,0,0,5367
34,12,0,5367
29,9,0,5367
0,0,0,5367
40,10,0,10558
35,10,0,10558
13,6,0,10558
10,3,0,10558
70,4,0,10558
66,2,0,10558
45,8,0,8725
40,5,0,8725
17,11,0,8725
15,9,0,8725
35,10,0,9175
30,9,0,9175
9,2,0,9175
11,4,0,9175
45,3,0,4850
20,9,0,4850
70,0,0,4850
30,10,0,13908
26,12,0,13908
7,0,0,13908
2,0,0,13908
57,0,0,13908
45,4,0,10608
40,2,0,10608
21,9,0,10608
15,9,0,10608
17,11,0,10608
30,8,0,9783
23,7,0,9783
3,0,0,9783
55,0,0,9783
25,12,0,9783
75,5,0,10017
70,2,0,10017
37,9,0,10017
34,5,0,10017
11,6,0,10017
15,9,0,10017
64,8,0,15967
58,0,0,15967
39,15,0,15967
35,12,0,15967
10,4,0,15967
2,0,0,15967
30,9,0,13133
24,10,0,13133
6,0,0,13133
35,10,0,4467
42,9,0,11950
36,9,0,11950
14,8,0,11950
45,14,0,19417
38,10,0,19417
18,12,0,19417
9,3,0,19417
53,9,0,15383
43,7,0,15383
25,15,0,15383
28,12,0,16800
55,4,0,16800
35,12,0,16800
50,0,0,3867
47,10,0,14597
44,14,0,14597
19,14,0,14597
72,10,0,12580
64,2,0,12580
62,9,0,19022
55,4,0,19022
26,15,0,19022
49,5,0,10017
40,8,0,10017
9,4,0,10017
12,7,0,10017
51,10,0,14372
51,9,0,14372
17,11,0,14372
63,8,0,9313
55,7,0,9313
32,14,0,9313
58,7,0,10213
53,4,0,10213
30,15,0,10213
43,9,0,19030
34,9,0,19030
11,6,0,19030
84,1,0,19030
39,9,0,19030
45,9,0,19030
57,0,0,13537
45,0,0,13537
24,9,0,13537
22,12,0,13537
1,0,0,13537
22,14,0,13537
20,12,0,13537
54,2,0,9985
46,0,0,9985
25,9,0,9985
21,12,0,9985
1,0,0,9985
55,5,0,9385
47,0,0,9385
27,10,0,9385
24,8,0,9385
1,0,0,9385
35,4,0,8173
9,2,0,8173
13,6,0,8173
10,3,0,8173
53,0,0,9553
42,0,0,9553
25,15,0,9553
23,15,0,9553
65,0,0,9150
60,0,0,9150
27,15,0,9150
21,12,0,9150
1,0,0,9150
41,4,0,10352
38,0,0,10352
19,12,0,10352
72,0,0,10352
67,0,0,10352
46,0,0,6657
37,4,0,6657
18,9,0,6657
60,18,0,20867
54,18,0,20867
24,15,0,20867
22,14,0,7500
22,14,0,8333
40,6,0,16417
36,4,0,16417
16,2,0,16417
14,3,0,16417
12,3,0,16417
80,0,0,34167
75,0,0,34167
55,0,0,34167
47,7,0,34167
30,10,0,34167
26,10,0,34167
3,0,0,34167
9,3,0,34167
8,2,0,34167
3,0,0,34167
25,15,0,34167
22,12,0,34167
40,9,0,34167
35,4,0,34167
16,10,0,34167
22,15,0,34167
21,14,0,34167
50,0,0,12917
42,9,0,12917
22,12,0,12917
50,0,0,8950
42,0,0,8950
25,12,0,8950
20,0,0,8950
40,0,0,7700
35,0,0,7700
17,0,0,7700
10,2,0,7700
19,0,0,7700
13,0,0,7700
31,12,0,9946
23,12,0,9946
3,0,0,9946
1,0,0,9946
48,4,0,9019
60,1,0,9019
24,12,0,9019
34,5,0,9190
30,10,0,9190
4,0,0,9190
2,0,0,9190
32,1,0,9207
29,9,0,9207
3,0,0,9207
1,0,0,9207
65,0,0,9207
45,7,0,9323
27,12,0,9323
25,16,0,9323
36,1,0,8973
31,9,0,8973
11,5,0,8973
22,9,0,8973
64,0,0,12164
37,4,0,12164
31,3,0,12164
9,3,0,12164
6,1,0,12164
26,12,0,12164
39,3,0,9298
32,9,0,9298
7,0,0,9298
11,6,0,9298
10,4,0,9298
51,15,0,8276
48,15,0,8276
